,avgSeatView,avgShowView,boxRate,boxSplitUnit,movieInfo,showCount,showCountRate,splitBoxRate,splitBoxSplitUnit,sumBoxDesc,sumSplitBoxDesc
0,2.6%,5,26.4%,11275000,长津湖之水门桥,66440,18.8%,26.9%,10561800,39.36亿,36.35亿
1,2.1%,3,18.4%,7889000,这个杀手不太冷静,66034,18.7%,18.4%,7236600,25.35亿,23.18亿
2,2.3%,3,12.4%,5299200,奇迹·笨小孩,49799,14.1%,12.2%,4816300,13.27亿,12.13亿
3,4.6%,5,11.7%,5000300,熊出没·重返地球,26317,7.4%,11.8%,4651900,9.41亿,8.64亿
4,3.1%,4,8.6%,3686100,花束般的恋爱,30704,8.7%,8.2%,3251100,6212.6万,5472.6万
5,2.0%,3,6.2%,2661300,狙击手,31502,8.9%,6.1%,2420000,5.76亿,5.28亿
6,4.4%,5,5.9%,2521100,我们的冬奥,15718,4.4%,5.8%,2307300,5786.5万,5307.9万
7,1.9%,3,2.5%,1072300,尼罗河上的惨案,10696,3.0%,2.4%,961500,6370.0万,5734.3万
8,3.0%,3,1.3%,569500,喜羊羊与灰太狼之筐出未来,5389,1.5%,1.3%,521700,1.58亿,1.45亿
9,1.4%,2,1.0%,447700,纽约的一个雨天,7416,2.1%,1.0%,400800,1035.0万,926.6万
10,0.7%,1,0.9%,423000,柳浪闻莺,15030,4.2%,0.9%,383700,228.0万,208.2万
11,1.9%,2,0.8%,378400,四海,4818,1.3%,0.8%,344799,5.38亿,4.87亿
12,1.4%,2,0.5%,244400,好想去你的世界爱你,5189,1.4%,0.5%,221900,1.06亿,9640.8万
13,5.2%,6,0.3%,166300,汪汪队立大功大电影,965,0.2%,0.3%,148000,8225.1万,7282.7万
14,0.4%,1,0.2%,114600,你是我的一束光,6400,1.8%,0.2%,103600,345.4万,324.0万
15,1.4%,2,0.2%,112600,我心飞扬,2384,0.6%,0.2%,105700,574.5万,537.7万
16,18.0%,19,0.2%,100500,跨过鸭绿江,166,<0.1%,0.2%,92700,1.03亿,1.02亿
17,51.2%,50,<0.1%,37200,我的父亲焦裕禄,15,<0.1%,<0.1%,37200,3303.3万,3285.4万
18,1.7%,2,<0.1%,30400,小虎墩大英雄,489,0.1%,<0.1%,27799,2202.9万,2025.9万
19,39.5%,26,<0.1%,25900,邓小平小道,27,<0.1%,<0.1%,23800,1401.8万,1398.5万
20,0.3%,1,<0.1%,23000,大国粮仓,2283,0.6%,<0.1%,21200,42.8万,42.2万
21,0.8%,1,<0.1%,22799,今年过年就结婚,835,0.2%,<0.1%,20500,19.3万,18.1万
22,0.8%,1,<0.1%,22200,不要忘记我爱你,857,0.2%,<0.1%,20299,5588.1万,5056.0万
23,0.6%,1,<0.1%,21400,十年一品温如言,1013,0.2%,<0.1%,19700,1.67亿,1.51亿
24,0.3%,1,<0.1%,15100,密案1922,1358,0.3%,<0.1%,13600,288.4万,259.7万
25,43.2%,38,<0.1%,11299,“炼”爱,8,<0.1%,<0.1%,10400,5.8万,5.6万
