,avgSeatView,avgShowView,boxRate,boxSplitUnit,movieInfo,showCount,showCountRate,splitBoxRate,splitBoxSplitUnit,sumBoxDesc,sumSplitBoxDesc
0,2.4%,4,28.0%,10826500,长津湖之水门桥,66515,18.6%,28.9%,10280000,39.16亿,36.16亿
1,1.7%,3,16.4%,6372800,这个杀手不太冷静,65322,18.3%,16.4%,5835800,25.17亿,23.01亿
2,2.0%,3,11.7%,4555900,奇迹·笨小孩,48353,13.5%,11.6%,4136300,13.15亿,12.02亿
3,4.3%,5,11.6%,4515700,熊出没·重返地球,24998,7.0%,11.6%,4149900,9.34亿,8.57亿
4,3.2%,4,9.4%,3637900,花束般的恋爱,29203,8.1%,9.0%,3202300,5467.7万,4815.7万
5,3.8%,4,5.5%,2131000,我们的冬奥,14861,4.1%,5.4%,1932800,5435.5万,4983.9万
6,1.6%,2,5.2%,2049000,狙击手,30470,8.5%,5.2%,1869100,5.69亿,5.22亿
7,1.7%,3,2.5%,990900,尼罗河上的惨案,10405,2.9%,2.5%,889100,6144.9万,5532.5万
8,1.0%,2,2.5%,975600,柳浪闻莺,25578,7.1%,2.4%,883000,151.1万,138.5万
9,2.8%,3,1.1%,456100,喜羊羊与灰太狼之筐出未来,4700,1.3%,1.1%,413600,1.57亿,1.44亿
10,1.4%,2,1.1%,441400,纽约的一个雨天,7902,2.2%,1.1%,395800,938.9万,840.5万
11,1.4%,2,0.6%,256400,四海,4382,1.2%,0.6%,233900,5.38亿,4.86亿
12,1.3%,2,0.5%,211800,好想去你的世界爱你,4757,1.3%,0.5%,192800,1.05亿,9587.4万
13,4.3%,5,0.3%,131400,汪汪队立大功大电影,877,0.2%,0.3%,117500,8204.4万,7264.3万
14,24.4%,26,0.3%,126199,跨过鸭绿江,150,<0.1%,0.3%,119300,1.03亿,1.01亿
15,1.2%,2,0.3%,121800,我心飞扬,2480,0.6%,0.3%,114100,555.1万,518.7万
16,0.3%,1,0.2%,100100,你是我的一束光,6540,1.8%,0.2%,92200,320.9万,301.1万
17,2.1%,3,0.2%,94500,今年过年就结婚,1163,0.3%,0.2%,82400,17.3万,15.4万
18,32.6%,43,0.1%,60599,邓小平小道,38,<0.1%,0.1%,55700,1398.6万,1394.9万
19,0.3%,1,<0.1%,30700,大国粮仓,2617,0.7%,<0.1%,27700,38.6万,38.0万
20,43.1%,47,<0.1%,30000,我的父亲焦裕禄,14,<0.1%,<0.1%,28500,3299.5万,3281.4万
21,1.3%,2,<0.1%,26700,小虎墩大英雄,505,0.1%,<0.1%,24500,2199.0万,2022.4万
22,0.6%,1,<0.1%,21000,十年一品温如言,1010,0.2%,<0.1%,19300,1.67亿,1.51亿
23,0.6%,1,<0.1%,17800,不要忘记我爱你,861,0.2%,<0.1%,16299,5582.0万,5050.3万
24,0.4%,1,<0.1%,17800,密案1922,1324,0.3%,<0.1%,16000,275.5万,248.1万
25,2.5%,3,<0.1%,12000,浴血誓言,92,<0.1%,<0.1%,11299,11.4万,11.1万
