,avgSeatView,avgShowView,boxRate,boxSplitUnit,movieInfo,showCount,showCountRate,splitBoxRate,splitBoxSplitUnit,sumBoxDesc,sumSplitBoxDesc
0,12.7%,27,27.1%,2601800,神秘海域,2569,0.8%,26.8%,2344200,262.3万,236.5万
1,0.6%,1,21.6%,2077000,长津湖之水门桥,50762,15.8%,22.3%,1949900,39.80亿,36.76亿
2,0.5%,1,7.8%,752800,可不可以你也刚好喜欢我,35942,11.1%,7.6%,669700,540.4万,480.0万
3,0.2%,1,7.2%,692300,这个杀手不太冷静,51376,16.0%,7.2%,628500,25.70亿,23.51亿
4,0.9%,2,6.7%,648500,花束般的恋爱,17477,5.4%,6.5%,568300,7448.5万,6560.4万
5,0.3%,1,6.4%,618900,奇迹·笨小孩,36091,11.2%,6.4%,561100,13.49亿,12.34亿
6,0.6%,1,5.5%,529600,熊出没·重返地球,18673,5.8%,5.5%,481599,9.45亿,8.67亿
7,0.2%,1,4.7%,457299,如果有一天我将会离开你,37489,11.6%,4.7%,417200,188.7万,173.2万
8,0.7%,1,2.6%,255799,我们的冬奥,8523,2.6%,2.6%,232300,5951.9万,5459.9万
9,0.2%,1,2.1%,206400,狙击手,21358,6.6%,2.1%,189300,5.90亿,5.41亿
10,0.2%,1,1.4%,136500,妖怪手表：永远的朋友,14971,4.6%,1.3%,121800,14.1万,12.6万
11,0.3%,1,1.0%,99700,尼罗河上的惨案,4758,1.4%,1.0%,90200,6696.1万,6026.9万
12,0.5%,1,0.5%,56700,喜羊羊与灰太狼之筐出未来,3048,0.9%,0.5%,51100,1.59亿,1.45亿
13,51.7%,39,0.5%,52400,印度女孩,36,<0.1%,0.5%,48200,5.2万,4.8万
14,0.7%,1,0.5%,49900,纽约的一个雨天,1723,0.5%,0.5%,44800,1200.7万,1075.3万
15,20.5%,20,0.3%,31800,白月光下,51,<0.1%,0.3%,28800,9.7万,8.8万
16,35.9%,30,0.3%,28900,邓小平小道,26,<0.1%,0.3%,26500,1428.5万,1424.4万
17,0.2%,1,0.2%,28600,四海,2993,0.9%,0.2%,25900,5.41亿,4.89亿
18,16.3%,16,0.2%,28000,“炼”爱,47,<0.1%,0.2%,25000,14.2万,13.3万
19,1.1%,2,0.2%,27400,汪汪队立大功大电影,663,0.2%,0.2%,24300,8233.9万,7290.6万
20,0.7%,1,0.2%,24400,柳浪闻莺,839,0.2%,0.2%,22100,328.9万,301.9万
21,0.2%,1,0.1%,17500,好想去你的世界爱你,1890,0.5%,0.1%,15900,1.07亿,9766.8万
22,0.0%,1,0.1%,12900,读心者之深海,4091,1.2%,0.1%,11900,25.9万,23.0万
