,avgSeatView,avgShowView,boxRate,boxSplitUnit,movieInfo,showCount,showCountRate,splitBoxRate,splitBoxSplitUnit,sumBoxDesc,sumSplitBoxDesc
0,12.8%,27,26.1%,2610100,神秘海域,2555,0.7%,25.8%,2351600,263.1万,237.3万
1,0.6%,2,21.6%,2166300,长津湖之水门桥,50584,15.8%,22.3%,2033700,39.80亿,36.76亿
2,0.6%,1,7.8%,782000,可不可以你也刚好喜欢我,35826,11.1%,7.6%,695699,543.3万,482.6万
3,0.2%,1,7.4%,749300,这个杀手不太冷静,51204,16.0%,7.4%,680200,25.71亿,23.51亿
4,1.0%,2,6.6%,666800,花束般的恋爱,17409,5.4%,6.4%,584400,7450.3万,6562.0万
5,0.4%,1,6.6%,660300,奇迹·笨小孩,35968,11.2%,6.5%,598700,13.49亿,12.34亿
6,0.7%,1,5.7%,579600,熊出没·重返地球,18649,5.8%,5.7%,527200,9.45亿,8.67亿
7,0.2%,1,4.7%,472400,如果有一天我将会离开你,37397,11.6%,4.7%,431000,190.2万,174.5万
8,0.8%,1,2.8%,285400,我们的冬奥,8513,2.6%,2.8%,259200,5954.8万,5462.6万
9,0.2%,1,2.1%,219899,狙击手,21288,6.6%,2.2%,201700,5.90亿,5.41亿
10,0.3%,1,1.6%,160799,妖怪手表：永远的朋友,14919,4.6%,1.5%,143500,16.5万,14.8万
11,0.3%,1,1.0%,103600,尼罗河上的惨案,4743,1.4%,1.0%,93699,6696.5万,6027.2万
12,0.5%,1,0.5%,59900,喜羊羊与灰太狼之筐出未来,3046,0.9%,0.5%,54000,1.59亿,1.45亿
13,51.7%,40,0.5%,52400,印度女孩,35,<0.1%,0.5%,48200,5.2万,4.8万
14,0.7%,1,0.5%,51100,纽约的一个雨天,1724,0.5%,0.5%,45900,1200.9万,1075.4万
15,20.5%,20,0.3%,31800,白月光下,51,<0.1%,0.3%,28800,9.7万,8.8万
16,1.2%,2,0.3%,30099,汪汪队立大功大电影,664,0.2%,0.2%,26700,8234.2万,7290.8万
17,0.2%,1,0.2%,29400,四海,2978,0.9%,0.2%,26600,5.41亿,4.89亿
18,35.9%,30,0.2%,28900,邓小平小道,26,<0.1%,0.2%,26500,1428.5万,1424.4万
19,16.3%,16,0.2%,28000,“炼”爱,47,<0.1%,0.2%,25000,14.2万,13.3万
20,0.8%,1,0.2%,25000,柳浪闻莺,837,0.2%,0.2%,22599,329.0万,301.9万
21,0.2%,1,0.1%,18000,好想去你的世界爱你,1882,0.5%,0.1%,16400,1.07亿,9766.9万
22,0.2%,1,0.1%,14300,你是我的一束光,1544,0.4%,0.1%,13500,469.9万,443.9万
23,0.0%,1,0.1%,13400,读心者之深海,4072,1.2%,0.1%,12300,25.9万,23.0万
