,avgSeatView,avgShowView,boxRate,boxSplitUnit,movieInfo,showCount,showCountRate,splitBoxRate,splitBoxSplitUnit,sumBoxDesc,sumSplitBoxDesc
0,0.5%,1,26.4%,2691600,长津湖之水门桥,66723,18.7%,27.5%,2563399,39.08亿,36.08亿
1,1.2%,2,14.4%,1467500,花束般的恋爱,29013,8.1%,13.8%,1293100,5253.0万,4626.3万
2,0.3%,1,11.5%,1175200,这个杀手不太冷静,65499,18.3%,11.4%,1069700,25.11亿,22.97亿
3,0.4%,1,10.2%,1045699,奇迹·笨小孩,48373,13.5%,10.1%,944800,13.12亿,11.99亿
4,0.7%,1,7.7%,787500,熊出没·重返地球,24689,6.9%,7.7%,717600,9.30亿,8.53亿
5,0.6%,1,6.1%,621200,柳浪闻莺,25962,7.2%,6.0%,560500,111.4万,102.3万
6,0.4%,1,5.1%,526100,狙击手,30410,8.5%,5.1%,477700,5.68亿,5.21亿
7,0.8%,1,5.0%,518500,我们的冬奥,14688,4.1%,5.0%,467800,5274.3万,4837.0万
8,0.5%,1,3.1%,316700,尼罗河上的惨案,10435,2.9%,3.0%,284100,6078.0万,5472.5万
9,0.5%,1,1.7%,182600,纽约的一个雨天,7904,2.2%,1.7%,164400,913.6万,817.9万
10,0.7%,1,1.2%,126100,喜羊羊与灰太狼之筐出未来,4624,1.2%,1.2%,113600,1.57亿,1.43亿
11,1.0%,1,0.9%,95700,我心飞扬,2503,0.7%,0.9%,89900,549.2万,512.7万
12,2.4%,2,0.8%,84400,今年过年就结婚,1162,0.3%,0.7%,73600,15.2万,13.4万
13,0.4%,1,0.7%,76300,好想去你的世界爱你,4728,1.3%,0.7%,69500,1.05亿,9574.5万
14,0.3%,1,0.5%,58300,四海,4349,1.2%,0.5%,53500,5.37亿,4.86亿
15,29.8%,40,0.5%,55800,邓小平小道,38,<0.1%,0.5%,51300,1392.4万,1388.3万
16,10.8%,11,0.4%,50800,跨过鸭绿江,122,<0.1%,0.5%,47500,1.03亿,1.01亿
17,0.1%,1,0.3%,37100,你是我的一束光,6492,1.8%,0.3%,34200,307.8万,286.9万
18,1.2%,2,0.3%,36700,汪汪队立大功大电影,838,0.2%,0.3%,32800,8194.7万,7255.6万
19,0.2%,1,0.2%,22500,大国粮仓,2617,0.7%,0.2%,20099,34.3万,31.9万
20,52.3%,253,0.1%,13899,隐入尘烟,1,<0.1%,0.1%,13100,11.0万,10.7万
