,avgSeatView,avgShowView,boxRate,boxSplitUnit,movieInfo,showCount,showCountRate,splitBoxRate,splitBoxSplitUnit,sumBoxDesc,sumSplitBoxDesc
0,12.1%,26,29.2%,2529700,神秘海域,2606,0.8%,28.9%,2279200,255.1万,230.0万
1,0.5%,1,20.2%,1754500,长津湖之水门桥,51406,15.8%,20.9%,1647100,39.80亿,36.76亿
2,0.5%,1,8.2%,716400,可不可以你也刚好喜欢我,36235,11.1%,8.0%,637300,536.7万,476.7万
3,0.9%,2,7.0%,614200,花束般的恋爱,17762,5.4%,6.8%,538300,7445.0万,6557.4万
4,0.2%,1,6.9%,603800,这个杀手不太冷静,51984,16.0%,6.9%,548100,25.70亿,23.51亿
5,0.3%,1,6.3%,547800,奇迹·笨小孩,36625,11.2%,6.3%,496700,13.49亿,12.34亿
6,0.2%,1,5.1%,445400,如果有一天我将会离开你,37963,11.6%,5.1%,406400,187.5万,172.1万
7,0.5%,1,4.5%,396000,熊出没·重返地球,18823,5.7%,4.5%,360200,9.45亿,8.67亿
8,0.5%,1,2.1%,186100,我们的冬奥,8579,2.6%,2.1%,169000,5944.9万,5453.6万
9,0.1%,1,2.0%,180200,狙击手,21601,6.6%,2.1%,165300,5.90亿,5.41亿
10,0.2%,1,1.4%,128300,妖怪手表：永远的朋友,15196,4.6%,1.4%,114500,13.3万,11.9万
11,0.3%,1,1.1%,96400,尼罗河上的惨案,4865,1.4%,1.1%,87200,6695.8万,6026.6万
12,51.7%,38,0.6%,52400,印度女孩,37,<0.1%,0.6%,48200,5.2万,4.8万
13,0.6%,1,0.5%,47100,纽约的一个雨天,1753,0.5%,0.5%,42300,1200.5万,1075.0万
14,0.4%,1,0.5%,44700,喜羊羊与灰太狼之筐出未来,3076,0.9%,0.5%,40300,1.59亿,1.45亿
15,20.5%,20,0.3%,31800,白月光下,51,<0.1%,0.3%,28800,9.7万,8.8万
16,35.9%,33,0.3%,28900,邓小平小道,24,<0.1%,0.3%,26500,1428.5万,1424.4万
17,15.4%,16,0.3%,27799,“炼”爱,48,<0.1%,0.3%,24900,14.2万,13.2万
18,0.1%,1,0.2%,25299,四海,3012,0.9%,0.2%,22900,5.41亿,4.89亿
19,0.7%,1,0.2%,23200,柳浪闻莺,847,0.2%,0.2%,21000,328.8万,301.8万
20,0.7%,1,0.2%,18000,汪汪队立大功大电影,672,0.2%,0.2%,15900,8233.0万,7289.8万
21,0.2%,1,0.1%,16400,好想去你的世界爱你,1909,0.5%,0.1%,14900,1.07亿,9766.7万
22,0.0%,1,0.1%,12200,读心者之深海,4117,1.2%,0.1%,11200,25.8万,22.9万
